"item","domain","wasserstein","alignment","comparison"
"Negative_Emotionality_11","Negative_Emotionality",0.05,0.9875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Negative_Emotionality_12","Negative_Emotionality",0.14,0.965,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_1","Open_Mindedness",0.0100000000000001,0.9975,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_2","Open_Mindedness",0.04,0.99,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_3","Open_Mindedness",0.00999999999999998,0.9975,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_4","Open_Mindedness",0.03,0.9925,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_5","Open_Mindedness",0.0100000000000001,0.9975,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_6","Open_Mindedness",0.05,0.9875,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_7","Open_Mindedness",0.0800000000000001,0.98,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_8","Open_Mindedness",0.02,0.995,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_9","Open_Mindedness",0.07,0.9825,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_10","Open_Mindedness",0.03,0.9925,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_11","Open_Mindedness",0.09,0.9775,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
"Open_Mindedness_12","Open_Mindedness",0.15,0.9625,"llm_src_en_Mistral_vs_llm_tgt_cn_Mistral"
