"item","domain","wasserstein","alignment","comparison"
"Conscientiousness_12","Conscientiousness",0.0999999999999999,0.975,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_1","Negative_Emotionality",0.18,0.955,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_2","Negative_Emotionality",0.12,0.97,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_3","Negative_Emotionality",0.25,0.9375,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_4","Negative_Emotionality",0.36,0.91,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_5","Negative_Emotionality",0.46,0.885,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_6","Negative_Emotionality",0.33,0.9175,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_7","Negative_Emotionality",0.1,0.975,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_8","Negative_Emotionality",0.19,0.9525,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_9","Negative_Emotionality",0.09,0.9775,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_10","Negative_Emotionality",0.12,0.97,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_11","Negative_Emotionality",0.23,0.9425,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Negative_Emotionality_12","Negative_Emotionality",0.12,0.97,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_1","Open_Mindedness",0.6,0.85,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_2","Open_Mindedness",0.11,0.9725,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_3","Open_Mindedness",0.49,0.8775,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_4","Open_Mindedness",0.17,0.9575,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_5","Open_Mindedness",0.19,0.9525,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_6","Open_Mindedness",0.67,0.8325,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_7","Open_Mindedness",0.24,0.94,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_8","Open_Mindedness",0.21,0.9475,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_9","Open_Mindedness",0.0800000000000001,0.98,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_10","Open_Mindedness",0.29,0.9275,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_11","Open_Mindedness",0.21,0.9475,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
"Open_Mindedness_12","Open_Mindedness",0.1,0.975,"llm_src_tr_Mistral_vs_llm_tgt_es_Mistral"
